title	description
Hibana: Spark	A dramatic series about friendship and conflict between two comedians who search for meaning in life and comedy. Based on the prize-winning book.
72 Cutest Animals	This series examines the nature of cuteness and how adorability helps some animal species to survive and thrive in a variety of environments.
72 Dangerous Places to Live	Get up close and personal with avalanches, fiery volcanoes and other natural cataclysms, and learn why some choose to live in their destructive paths.
Black Man White Skin	This film chronicles the health and social problems that African albinos face and details the fight waged on their behalf by advocacy groups in Spain.
Bob Ross: Beauty Is Everywhere	"""The Joy of Painting"" host Bob Ross brings his signature wet-on-wet style to a bevy of bucolic landscape paintings celebrating the beauty of nature."
Gentlemen and Gangsters	Now on the run, a writer relates his previous year's escapades when he got sucked into the thrilling, sordid orbit of boxer and jazz man Henry Morgan.
Spy Time	When his girlfriend dumps him for being a bore, a working stiff discovers that his father is a secret agent and a dangerous thug is targeting them.
The Fear of 13	After 20 years on Death Row, self-educated inmate Nick petitions the court to be executed, then tells his twisting, turning tale of despair and hope.
The Heroes of Evil	Three teenage misfits find camaraderie in sex, violence and petty crime. But what starts as a lark soon threatens to damage them beyond repair.
Hell on Wheels	Former Confederate soldier Cullen Bohannon sets out on a quest to find his wife's killer as post-Civil War America struggles to rebuild its identity.
Mako Mermaids: An H2O Adventure	"This ""H2O"" sequel follows Zac, a boy who accidentally turns into a merman and threatens the existence of three young mermaids who guard Mako Island."
The Do-Over	The life of a bank manager is turned upside down when a friend from his past manipulates him into faking his own death and taking off on an adventure.
Bitten	Elena Michaels tries to stray from the pack of werewolves that turned her into a monster, but her efforts are thwarted by a string of grisly murders.
The Last Man on the Moon	Astronaut Gene Cernan looks back on the exciting history of NASA's lunar landings and how being the last man to stand on the moon changed his life.
Dramaworld	"A huge fan of a Korean TV drama is transported to a magical realm where she has the power to alter her favorite show's story line as a ""Facilitator."""
The Super Mario Bros. Super Show!	Mixing live action and animation, this classic series brought the beloved Super Mario Bros. video game characters to television screens everywhere.
Attacking the Devil: Harold Evans and the Last Nazi War Crime	Intrepid newspaper editor Harold Evans wages an ongoing battle to expose the truth about a dangerous drug and obtain compensation for its victims.
The Chosen Ones	Young Ulises falls in love with teen Sofia, even as he is forced to lure her into his family's prostitution ring. Now he'll do anything to rescue her.
Ali Wong: Baby Cobra	Ali Wong's stand up special delves into her sexual adventures, hoarding, the rocky road to pregnancy, and why feminism is terrible.
4th Man Out	A young mechanic comes out to his extremely straight best friends. Once they get used to the idea, they're determined to help him find the right guy.
Mark Gatiss: A Study in Sherlock	Mark Gatiss, who co-created “Sherlock” and plays Mycroft Holmes, discusses the show with Benedict Cumberbatch, Martin Freeman and others in the cast.
Palm Trees in the Snow	Finding a tantalizing clue in an old letter, a young woman journeys to her family's tropical plantation to uncover generations of secrets.
Terra	This visually arresting documentary essay reflects on our relationship to other living creatures as humanity becomes more isolated from nature.
Special Correspondents	When they lose their passports, a bickering radio team invents phony reports from a combat zone in a ruse that becomes increasingly complicated.
Team Foxcatcher	With never-before seen home video, this film recounts the paranoid downward spiral of John E. du Pont and the murder of Olympic wrestler Dave Schultz.
Africa	This five-part nature series chronicles fascinating stories of survival on the African continent, home to the most diverse animal life on the planet.
Democrats	After Zimbabwe's disputed 2008 election results, political enemies are asked to write a new constitution and save their country from a bleak future.
Catching the Sun	This documentary explores the worldwide economics of the burgeoning solar energy industry and its impact on hopeful job seekers in the United States.
Patton Oswalt: Talking for Clapping	On stage in San Francisco, the comedian covers topics like old people getting drugs, his worst stand-up set, gay proms and a horrible birthday clown.
Mac & Devin Go to High School	Devin Overstreet may be the class valedictorian, but he hasn't had much life experience. Enter Mac Johnson, a 10th-year senior and weed dealer.
Lost Girl	Discovering she's a succubus who sustains herself by feeding on the sexual energy of humans, seductive Bo sets out on a journey to understand herself.
The Messengers	A group of strangers who are killed by a mysterious object soon come back to life and learn they have been chosen to prevent the apocalypse.
Band of Robbers	Recast as modern-day men, Tom Sawyer and Huck Finn draft their misfit cronies to help find the buried treasure the two have sought since boyhood.
Belgica	Two brothers become partners in a modest nightclub and turn it into the hottest spot in town, but their exhilarating run of success comes at a price.
Prescription Thugs	A documentarian uses his own family's experiences as a springboard to explore the ethical issues surrounding the FDA and pharmaceutical industry.
Look Who's Back	When Adolf Hitler reawakens at the site of his former bunker 70 years later, he's mistaken for a brilliant comedian and becomes a media phenomenon.
Hush	A deaf writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears in her window.
American Odyssey	An elite soldier, a corporate lawyer and a political activist uncover a deadly conspiracy linking terrorists to a powerful American corporation.
Cyborg 009 VS Devilman	"When a Black Ghost scientist releases newly modified cyborgs and mysterious demons appear in Tokyo, the worlds of ""Devilman"" and ""Cyborg 009"" meet."
Frank and Cindy	Frank was a rising pop star when he married Cindy, but decades of dashed dreams and alcoholism have left the pair struggling to find happiness.
